Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Thrust (N),RPM168, ESC_Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546
2025-09-03 15:13:25.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.97,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 15:13:25.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.28,564.88,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.28,564.91,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.373,0.0,-1.46,1.41,0.08,0.03,0.294,0.0,0.0,24.2,0.28,564.94,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.423,0.0,-1.46,1.41,0.08,0.03,0.294,0.0,0.0,24.2,0.0,564.94,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.474,0.0,-1.46,1.41,0.08,0.03,0.294,0.0,0.0,24.2,0.0,565.0,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.524,0.0,-1.46,1.41,0.08,0.03,0.294,0.0,0.0,24.2,0.14,565.04,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.576,0.0,-1.46,1.41,0.08,0.03,0.294,0.0,0.0,24.2,0.14,565.04,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.626,0.0,-1.46,1.41,0.08,0.03,0.294,0.0,0.0,24.2,0.0,565.04,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.677,0.0,-1.46,1.41,0.08,0.03,0.294,0.0,0.0,24.2,0.0,565.04,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.727,0.0,-1.46,1.41,0.08,0.03,0.294,0.0,0.0,24.2,0.14,565.07,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.778,0.84,-1.46,1.41,0.08,0.87,8.526,0.0,0.0,24.2,0.0,565.07,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.828,0.84,-1.46,1.41,0.08,0.87,8.526,0.0,0.0,24.2,0.14,565.1,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.878,0.84,-1.46,1.41,0.08,0.87,8.526,0.0,0.0,24.2,0.28,565.07,0.0,23,0.0,566.6,0.0,0
2025-09-03 15:13:25.929,0.84,-1.46,1.41,0.08,0.87,8.526,0.0,0.0,24.2,0.14,565.13,0.0,23,0.0,566.6,0.0,0
