Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Force (N),RPM168, ESC_Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546
2025-08-29 14:54:38.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.81,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-29 14:54:38.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,566.74,0.81,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,566.81,1.08,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.14,566.81,0.9,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.14,566.87,0.72,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.14,566.87,0.72,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,-0.28,566.87,0.81,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,566.84,0.36,25,0.0,568.3,0.0,50
2025-08-29 14:54:38.510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,566.74,0.72,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,566.87,0.99,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.613,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.2,0.0,566.84,0.54,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.664,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.2,0.0,566.84,0.81,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.714,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.3,-0.14,566.93,0.63,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.765,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.12,25.3,-0.14,566.84,0.63,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.818,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.12,25.2,-0.14,566.87,0.81,25,0.0,568.3,0.0,50
2025-08-29 14:54:38.868,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.3,-0.14,566.9,1.08,25,0.0,568.3,0.0,50
2025-08-29 14:54:38.920,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.3,0.0,566.97,0.9,25,0.0,568.3,0.0,60
2025-08-29 14:54:38.972,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.3,0.28,566.97,0.45,25,0.0,568.3,0.0,60
2025-08-29 14:54:39.025,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.3,0.0,566.9,0.81,25,0.0,568.3,0.0,50
2025-08-29 14:54:39.075,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.3,0.0,566.81,0.9,25,0.0,568.3,0.0,50
2025-08-29 14:54:39.126,0.0,1.16,0.0,0.0,1.16,11.368,0.0,0.0,25.3,-0.14,566.84,0.9,25,0.0,568.3,0.0,60
